,,DEMO,DISE,FAML,GOAL,PREG,SOCL,TRMT
val,f1,0.5381083061693795,0.665161004741778,0.8843362162215145,0.8482037696521882,0.707415379150518,0.6129269926260064,0.6136200169684531
val,precision,0.5578761395732968,0.6212479519285475,0.8481000541499352,0.8258936906446614,0.6896931857215721,0.7201296879979051,0.6441827085532473
val,recall,0.5211990585635855,0.7170686247151765,0.9245954396276723,0.8722179999691961,0.7279666784717913,0.536133775579344,0.5912052559731553
val,accuracy,0.70175,0.70175,0.70175,0.70175,0.70175,0.70175,0.70175
test,f1,0.516875596261294,0.6329051600632302,0.8750057478961454,0.8200523971489705,0.6998869784084685,0.618365233140663,0.6306735409511295
test,precision,0.5381136165716833,0.5897573769266028,0.8435674522494636,0.7705302356301335,0.6926528988915278,0.7184168351720189,0.665363713170078
test,recall,0.49863013698630143,0.6836363636363636,0.9092636579572446,0.8766666666666666,0.7102325581395348,0.5442176870748299,0.6029339853300734
test,accuracy,0.6876292097365788,0.6876292097365788,0.6876292097365788,0.6876292097365788,0.6876292097365788,0.6876292097365788,0.6876292097365788
COVID,f1,0.0,0.8068790010509291,0.39239667796943334,0.0,0.0,0.0,0.3157843137254902
COVID,precision,0.0,0.800446253584956,0.9666666666666668,0.0,0.0,0.0,0.40928571428571425
COVID,recall,0.0,0.8138888888888889,0.2615384615384615,0.0,0.0,0.0,0.26
COVID,accuracy,0.646,0.646,0.646,0.646,0.646,0.646,0.646
icliniq,f1,0.27076604554865424,0.6817252023559014,0.344873949579832,0.2797190635451505,0.6352941176470588,0.05714285714285714,0.13929864253393667
icliniq,precision,0.27153846153846156,0.6230351797665893,0.9199999999999999,0.27712287712287714,0.6499999999999999,0.03333333333333333,0.19357142857142856
icliniq,recall,0.27272727272727276,0.7534883720930232,0.21666666666666665,0.2833333333333333,0.6222222222222221,0.2,0.11666666666666665
icliniq,accuracy,0.48600000000000004,0.48600000000000004,0.48600000000000004,0.48600000000000004,0.48600000000000004,0.48600000000000004,0.48600000000000004
